loan_id,account_id,date,amount,duration,payments,status,DATE EDITED,,STATUS EDIT
6534,7542,971019,590820,60,9847,C,19-10-2021,,Running Contract
6791,8926,980123,566640,60,9444,C,23-01-2022,,Running Contract
5447,2335,971112,541200,60,9020,D,12-11-2021,,Client in debt
5132,817,950217,538500,60,8975,C,17-02-2019,,Running Contract
5569,2936,980120,504000,60,8400,C,20-01-2022,,Running Contract
6436,7049,980522,495180,60,8253,C,22-05-2022,,Running Contract
7142,10451,941219,482940,60,8049,D,19-12-2018,,Client in debt
6415,6950,970212,475680,48,9910,C,12-02-2021,,Running Contract
6625,7966,970907,473280,60,7888,D,07-09-2021,,Client in debt
5043,339,971225,468060,60,7801,C,25-12-2021,,Running Contract
5486,2516,970613,466608,48,9721,C,13-06-2021,,Running Contract
5976,4794,971227,465504,48,9698,D,27-12-2021,,Client in debt
5970,4774,950709,465072,48,9689,C,09-07-2019,,Running Contract
6228,6034,931201,464520,60,7742,B,01-12-2017,,Loan Not Paid
5731,3711,971105,460980,60,7683,D,05-11-2021,,Client in debt
5725,3679,960723,444864,48,9268,C,23-07-2020,,Running Contract
5561,2910,980829,437460,60,7291,C,29-08-2022,,Running Contract
5491,2545,980213,428784,48,8933,C,13-02-2022,,Running Contract
7101,10297,961118,421008,48,8771,C,18-11-2020,,Running Contract
7304,11349,951029,419880,60,6998,C,29-10-2019,,Running Contract
7154,10520,961205,417600,60,6960,C,05-12-2020,,Running Contract
6704,8377,950601,417060,60,6951,C,01-06-2019,,Running Contract
5419,2246,970205,415800,60,6930,C,05-02-2021,,Running Contract
6237,6075,980106,407952,48,8499,D,06-01-2022,,Client in debt
5830,4190,970828,405780,60,6763,C,28-08-2021,,Running Contract
5938,4650,960825,402000,60,6700,C,25-08-2020,,Running Contract
6055,5181,970428,399120,60,6652,C,28-04-2021,,Running Contract
6272,6226,941220,398640,60,6644,C,20-12-2018,,Running Contract
5329,1862,961016,396120,60,6602,C,16-10-2020,,Running Contract
7271,11186,961002,392460,60,6541,C,02-10-2020,,Running Contract
6338,6592,970824,390660,60,6511,C,24-08-2021,,Running Contract
6554,7637,970129,390096,48,8127,C,29-01-2021,,Running Contract
5589,3005,980605,390000,48,8125,C,05-06-2022,,Running Contract
5236,1374,970915,389136,48,8107,C,15-09-2021,,Running Contract
5282,1583,960824,388512,48,8094,D,24-08-2020,,Client in debt
5318,1808,980930,385584,48,8033,C,30-09-2022,,Running Contract
7209,10857,971130,385560,60,6426,D,30-11-2021,,Client in debt
5174,1093,970613,385104,48,8023,C,13-06-2021,,Running Contract
5563,2912,960229,380160,60,6336,C,29-02-2020,,Running Contract
6926,9455,980207,374760,60,6246,C,07-02-2022,,Running Contract
6585,7795,961029,372120,60,6202,C,29-10-2020,,Running Contract
5041,319,970711,369000,60,6150,C,11-07-2021,,Running Contract
6109,5422,960603,368880,60,6148,C,03-06-2020,,Running Contract
6239,6083,970928,360864,48,7518,D,28-09-2021,,Client in debt
5494,2572,960613,360000,48,7500,C,13-06-2020,,Running Contract
6006,4948,961115,359760,60,5996,C,15-11-2020,,Running Contract
5063,442,970710,357840,48,7455,D,10-07-2021,,Client in debt
4989,105,981205,352704,48,7348,C,05-12-2022,,Running Contract
6118,5477,971004,349392,48,7279,C,04-10-2021,,Running Contract
7100,10280,971231,348120,60,5802,C,31-12-2021,,Running Contract
5418,2245,950116,347952,48,7249,C,16-01-2019,,Running Contract
6938,9504,970310,341280,60,5688,C,10-03-2021,,Running Contract
7195,10774,980423,339168,48,7066,C,23-04-2022,,Running Contract
5532,2754,970504,335280,48,6985,C,04-05-2021,,Running Contract
5991,4858,980727,335184,48,6983,D,27-07-2022,,Client in debt
5772,3906,980308,334620,60,5577,C,08-03-2022,,Running Contract
6705,8381,970725,333648,48,6951,D,25-07-2021,,Client in debt
5042,330,980712,331584,48,6908,C,12-07-2022,,Running Contract
7004,9869,950315,331560,60,5526,C,15-03-2019,,Running Contract
5865,4354,981030,327660,60,5461,C,30-10-2022,,Running Contract
6038,5120,940810,323472,48,6739,A,10-08-2018,,Contract Finished
6821,9037,980915,321936,48,6707,C,15-09-2022,,Running Contract
6235,6062,980419,321360,60,5356,C,19-04-2022,,Running Contract
5889,4456,980209,321240,60,5354,C,09-02-2022,,Running Contract
5611,3115,961115,321180,60,5353,C,15-11-2020,,Running Contract
6063,5213,960425,320976,48,6687,D,25-04-2020,,Client in debt
6550,7614,960518,320592,48,6679,C,18-05-2020,,Running Contract
4967,37,981014,318480,60,5308,D,14-10-2022,,Client in debt
6028,5072,970209,317520,60,5292,C,09-02-2021,,Running Contract
7292,11317,981122,317460,60,5291,C,22-11-2022,,Running Contract
5724,3678,950205,316140,60,5269,D,05-02-2019,,Client in debt
5435,2279,980601,314688,48,6556,C,01-06-2022,,Running Contract
7227,10942,951002,314520,60,5242,C,02-10-2019,,Running Contract
7050,10065,970923,311232,48,6484,C,23-09-2021,,Running Contract
6695,8320,970604,309660,60,5161,C,04-06-2021,,Running Contract
6540,7562,951231,309600,48,6450,C,31-12-2019,,Running Contract
5145,915,950916,309552,48,6449,C,16-09-2019,,Running Contract
5758,3859,970502,307200,60,5120,D,02-05-2021,,Client in debt
7085,10202,970619,305424,48,6363,C,19-06-2021,,Running Contract
6087,5313,940227,300660,60,5011,C,27-02-2018,,Running Contract
7001,9859,970810,300600,60,5010,C,10-08-2021,,Running Contract
5918,4576,940604,300204,36,8339,A,04-06-2018,,Contract Finished
5395,2176,940730,299088,36,8308,B,30-07-2018,,Loan Not Paid
6350,6678,970709,294384,48,6133,C,09-07-2021,,Running Contract
5363,2051,970422,293880,60,4898,D,22-04-2021,,Client in debt
5469,2445,971226,293160,60,4886,C,26-12-2021,,Running Contract
5354,2000,980714,290820,60,4847,C,14-07-2022,,Running Contract
6175,5735,960221,290700,60,4845,D,21-02-2020,,Client in debt
6007,4949,970830,289920,48,6040,C,30-08-2021,,Running Contract
6435,7045,970616,288720,48,6015,C,16-06-2021,,Running Contract
6526,7523,950103,288468,36,8013,A,03-01-2019,,Contract Finished
6736,8558,940614,288360,60,4806,C,14-06-2018,,Running Contract
6153,5632,950725,285600,60,4760,C,25-07-2019,,Running Contract
6877,9241,970619,285240,60,4754,C,19-06-2021,,Running Contract
5148,940,960529,284280,60,4738,C,29-05-2020,,Running Contract
7295,11328,980718,280440,60,4674,C,18-07-2022,,Running Contract
6962,9646,980402,279072,48,5814,C,02-04-2022,,Running Contract
5593,3037,960418,277884,36,7719,D,18-04-2020,,Client in debt
6232,6051,940708,276660,36,7685,B,08-07-2018,,Loan Not Paid
6073,5263,961112,276300,60,4605,C,12-11-2020,,Running Contract
5644,3293,981127,276084,36,7669,C,27-11-2022,,Running Contract
7240,11013,930906,274740,60,4579,A,06-09-2017,,Contract Finished
5568,2933,940517,272520,60,4542,C,17-05-2018,,Running Contract
6851,9138,970603,272220,60,4537,D,03-06-2021,,Client in debt
6859,9167,980307,272220,60,4537,C,07-03-2022,,Running Contract
5719,3664,970920,271584,48,5658,C,20-09-2021,,Running Contract
5365,2055,980719,271260,60,4521,C,19-07-2022,,Running Contract
6244,6118,950108,270648,36,7518,B,08-01-2019,,Loan Not Paid
6296,6358,960806,270384,48,5633,C,06-08-2020,,Running Contract
7167,10644,980618,269964,36,7499,C,18-06-2022,,Running Contract
5556,2872,970519,268320,60,4472,C,19-05-2021,,Running Contract
7147,10478,980102,267600,48,5575,C,02-01-2022,,Running Contract
6712,8405,951014,266220,60,4437,C,14-10-2019,,Running Contract
6725,8489,950623,265320,36,7370,A,23-06-2019,,Contract Finished
4988,103,971206,265320,36,7370,D,06-12-2021,,Client in debt
5082,501,961024,262980,60,4383,C,24-10-2020,,Running Contract
7122,10365,970104,260640,36,7240,D,04-01-2021,,Client in debt
6655,8085,971017,260400,60,4340,D,17-10-2021,,Client in debt
7176,10663,951028,260028,36,7223,A,28-10-2019,,Contract Finished
7104,10320,931213,259740,60,4329,A,13-12-2017,,Contract Finished
6012,4994,960803,258444,36,7179,C,03-08-2020,,Running Contract
5614,3137,980921,253560,60,4226,C,21-09-2022,,Running Contract
5606,3084,960828,253512,36,7042,D,28-08-2020,,Client in debt
5170,1071,940120,253200,60,4220,C,20-01-2018,,Running Contract
5169,1068,980924,253200,60,4220,C,24-09-2022,,Running Contract
5060,426,940719,252060,60,4201,D,19-07-2018,,Client in debt
7164,10613,980815,249792,48,5204,C,15-08-2022,,Running Contract
5350,1967,960421,249312,48,5194,C,21-04-2020,,Running Contract
5310,1762,950428,248148,36,6893,A,28-04-2019,,Contract Finished
6255,6158,970208,247920,48,5165,D,08-02-2021,,Client in debt
6254,6157,971228,247920,48,5165,C,28-12-2021,,Running Contract
6698,8327,960310,247728,48,5161,C,10-03-2020,,Running Contract
5837,4260,940629,244560,60,4076,C,29-06-2018,,Running Contract
6955,9627,951122,244368,48,5091,C,22-11-2019,,Running Contract
6748,8645,981208,240900,60,4015,C,08-12-2022,,Running Contract
6083,5305,980331,240528,48,5011,C,31-03-2022,,Running Contract
5319,1811,940623,239460,60,3991,C,23-06-2018,,Running Contract
7088,10233,970503,239160,60,3986,C,03-05-2021,,Running Contract
6675,8158,971101,238716,36,6631,C,01-11-2021,,Running Contract
6450,7099,980610,234336,48,4882,C,10-06-2022,,Running Contract
7049,10063,970624,233424,36,6484,C,24-06-2021,,Running Contract
6178,5742,951216,232560,48,4845,C,16-12-2019,,Running Contract
6173,5724,970108,232560,48,4845,C,08-01-2021,,Running Contract
7057,10093,951020,231696,36,6436,A,20-10-2019,,Contract Finished
5520,2699,980830,231168,48,4816,C,30-08-2022,,Running Contract
5051,378,971011,230400,60,3840,C,11-10-2021,,Running Contract
6738,8566,940929,230220,36,6395,B,29-09-2018,,Loan Not Paid
5428,2262,981202,230220,36,6395,C,02-12-2022,,Running Contract
6940,9510,961122,228276,36,6341,C,22-11-2020,,Running Contract
6808,8982,941012,227880,36,6330,A,12-10-2018,,Contract Finished
6932,9491,980625,225504,48,4698,C,25-06-2022,,Running Contract
6151,5628,950425,225420,60,3757,C,25-04-2019,,Running Contract
6686,8260,940825,224604,36,6239,A,25-08-2018,,Contract Finished
5625,3189,961215,222180,60,3703,D,15-12-2020,,Client in debt
6142,5591,970121,221880,60,3698,C,21-01-2021,,Running Contract
5876,4413,950208,221280,48,4610,C,08-02-2019,,Running Contract
6715,8411,960506,220620,60,3677,C,06-05-2020,,Running Contract
6568,7713,980225,220440,60,3674,C,25-02-2022,,Running Contract
6660,8094,970509,220428,36,6123,C,09-05-2021,,Running Contract
5973,4784,971124,219456,48,4572,C,24-11-2021,,Running Contract
7037,10022,980103,218064,48,4543,C,03-01-2022,,Running Contract
7243,11042,951204,217152,36,6032,A,04-12-2019,,Contract Finished
5128,808,960411,215616,48,4492,D,11-04-2020,,Client in debt
7066,10131,940502,215388,36,5983,B,02-05-2018,,Loan Not Paid
6861,9179,980228,215040,60,3584,C,28-02-2022,,Running Contract
5369,2080,970912,214596,36,5961,C,12-09-2021,,Running Contract
5989,4852,960304,213300,36,5925,C,04-03-2020,,Running Contract
7255,11096,970609,213300,60,3555,C,09-06-2021,,Running Contract
5823,4144,980621,212976,36,5916,C,21-06-2022,,Running Contract
6336,6555,940331,212400,36,5900,A,31-03-2018,,Contract Finished
7035,10005,980729,210744,36,5854,C,29-07-2022,,Running Contract
5086,525,970716,210384,48,4383,C,16-07-2021,,Running Contract
6120,5481,940911,209184,48,4358,A,11-09-2018,,Contract Finished
5334,1876,980910,209040,24,8710,C,10-09-2022,,Running Contract
7168,10645,980705,208332,36,5787,C,05-07-2022,,Running Contract
6647,8051,940601,208320,48,4340,A,01-06-2018,,Contract Finished
5126,790,940724,208128,48,4336,B,24-07-2018,,Loan Not Paid
5674,3418,970610,207264,48,4318,C,10-06-2021,,Running Contract
5351,1978,941204,205200,36,5700,A,04-12-2018,,Contract Finished
5963,4746,970907,204780,60,3413,C,07-09-2021,,Running Contract
5160,1011,951218,204000,60,3400,C,18-12-2019,,Running Contract
6468,7176,971130,203940,60,3399,C,30-11-2021,,Running Contract
6097,5362,970821,202848,48,4226,C,21-08-2021,,Running Contract
5312,1772,960313,202788,36,5633,C,13-03-2020,,Running Contract
5470,2456,960415,200976,48,4187,C,15-04-2020,,Running Contract
5450,2345,941211,199680,60,3328,C,11-12-2018,,Running Contract
7166,10630,950624,198240,24,8260,A,24-06-2019,,Contract Finished
7181,10679,971002,197808,24,8242,C,02-10-2021,,Running Contract
7226,10940,940223,197748,36,5493,A,23-02-2018,,Contract Finished
5072,472,970428,196800,24,8200,D,28-04-2021,,Client in debt
7171,10650,980224,196224,48,4088,C,24-02-2022,,Running Contract
6580,7769,940522,196080,48,4085,A,22-05-2018,,Contract Finished
7036,10019,960925,194940,36,5415,C,25-09-2020,,Running Contract
6403,6924,951205,194880,48,4060,C,05-12-2019,,Running Contract
7129,10404,980301,194280,60,3238,C,01-03-2022,,Running Contract
5281,1580,971127,194256,24,8094,C,27-11-2021,,Running Contract
6442,7082,980208,194160,48,4045,C,08-02-2022,,Running Contract
6072,5256,940510,193968,36,5388,A,10-05-2018,,Contract Finished
5887,4448,941003,192744,36,5354,A,03-10-2018,,Contract Finished
5886,4447,961031,192744,36,5354,C,31-10-2020,,Running Contract
5176,1106,941112,192552,24,8023,B,12-11-2018,,Loan Not Paid
6545,7606,951212,191880,60,3198,C,12-12-2019,,Running Contract
6872,9227,980429,191580,60,3193,C,29-04-2022,,Running Contract
5270,1528,970721,191088,48,3981,C,21-07-2021,,Running Contract
5293,1656,981029,189792,48,3954,C,29-10-2022,,Running Contract
6594,7824,940928,189696,24,7904,B,28-09-2018,,Loan Not Paid
6589,7815,960101,189696,24,7904,A,01-01-2020,,Contract Finished
6836,9093,940803,189300,60,3155,C,03-08-2018,,Running Contract
5151,960,950524,189060,60,3151,C,24-05-2019,,Running Contract
6933,9493,950909,188688,48,3931,C,09-09-2019,,Running Contract
6908,9353,970608,188616,24,7859,C,08-06-2021,,Running Contract
5158,1004,980411,188532,36,5237,C,11-04-2022,,Running Contract
5045,347,950501,187224,24,7801,B,01-05-2019,,Loan Not Paid
5136,846,960728,187104,24,7796,A,28-07-2020,,Contract Finished
6810,9006,960608,186384,48,3883,C,08-06-2020,,Running Contract
6793,8931,970130,186300,60,3105,C,30-01-2021,,Running Contract
5414,2228,950329,185952,48,3874,C,29-03-2019,,Running Contract
6746,8639,980606,185640,60,3094,C,06-06-2022,,Running Contract
5226,1318,981011,185544,36,5154,C,11-10-2022,,Running Contract
6207,5912,980623,184620,60,3077,C,23-06-2022,,Running Contract
5209,1250,961125,182640,48,3805,C,25-11-2020,,Running Contract
7262,11135,940301,182628,36,5073,A,01-03-2018,,Contract Finished
5409,2218,951118,182040,60,3034,C,18-11-2019,,Running Contract
6302,6397,960916,181020,60,3017,C,16-09-2020,,Running Contract
6011,4981,961128,179328,48,3736,C,28-11-2020,,Running Contract
5140,873,980224,178500,60,2975,C,24-02-2022,,Running Contract
6196,5837,970914,177804,36,4939,C,14-09-2021,,Running Contract
5624,3166,950103,177744,48,3703,D,03-01-2019,,Client in debt
6147,5602,971228,177504,48,3698,C,28-12-2021,,Running Contract
5360,2035,980125,176328,36,4898,C,25-01-2022,,Running Contract
6961,9645,960606,176148,36,4893,C,06-06-2020,,Running Contract
5699,3562,980524,174960,24,7290,C,24-05-2022,,Running Contract
5698,3556,980922,174840,60,2914,C,22-09-2022,,Running Contract
6111,5428,930924,174744,24,7281,B,24-09-2017,,Loan Not Paid
6112,5442,940617,174744,24,7281,B,17-06-2018,,Loan Not Paid
6732,8533,960919,174048,48,3626,C,19-09-2020,,Running Contract
6066,5228,940711,173808,24,7242,A,11-07-2018,,Contract Finished
6734,8547,960530,173016,36,4806,C,30-05-2020,,Running Contract
5304,1718,980820,172272,24,7178,C,20-08-2022,,Running Contract
6841,9104,940807,172080,48,3585,A,07-08-2018,,Contract Finished
6078,5283,980909,170832,48,3559,C,09-09-2022,,Running Contract
6755,8713,980724,170700,60,2845,C,24-07-2022,,Running Contract
6552,7632,980108,170448,48,3551,C,08-01-2022,,Running Contract
5390,2167,941030,170256,24,7094,A,30-10-2018,,Contract Finished
7241,11021,950304,168984,24,7041,B,04-03-2019,,Loan Not Paid
5956,4725,971104,168264,36,4674,C,04-11-2021,,Running Contract
7055,10079,940406,167100,60,2785,C,06-04-2018,,Running Contract
5316,1801,930711,165960,36,4610,A,11-07-2017,,Contract Finished
4973,67,960502,165960,24,6915,A,02-05-2020,,Contract Finished
5265,1498,981007,165780,60,2763,C,07-10-2022,,Running Contract
6014,4999,970518,165168,36,4588,C,18-05-2021,,Running Contract
5482,2496,960112,165120,60,2752,C,12-01-2020,,Running Contract
6871,9225,970413,164256,48,3422,C,13-04-2021,,Running Contract
5850,4293,970522,164196,36,4561,C,22-05-2021,,Running Contract
5269,1527,941119,164052,36,4557,B,19-11-2018,,Loan Not Paid
6856,9156,981201,163332,36,4537,C,01-12-2022,,Running Contract
5942,4681,970315,162624,48,3388,C,15-03-2021,,Running Contract
4990,110,970908,162576,36,4516,C,08-09-2021,,Running Contract
5337,1886,960731,162468,36,4513,C,31-07-2020,,Running Contract
5706,3608,960524,161496,36,4486,C,24-05-2020,,Running Contract
5027,276,981202,160920,36,4470,C,02-12-2022,,Running Contract
6633,7997,980205,160656,24,6694,C,05-02-2022,,Running Contract
5451,2350,970511,159744,48,3328,C,11-05-2021,,Running Contract
5804,4079,950405,158976,48,3312,C,05-04-2019,,Running Contract
5713,3629,950530,158760,60,2646,C,30-05-2019,,Running Contract
6104,5395,970905,158184,36,4394,C,05-09-2021,,Running Contract
6948,9560,980315,157068,36,4363,C,15-03-2022,,Running Contract
5453,2361,950401,156672,36,4352,A,01-04-2019,,Contract Finished
5527,2728,980615,156420,60,2607,C,15-06-2022,,Running Contract
5124,785,980212,156096,36,4336,C,12-02-2022,,Running Contract
6667,8127,960715,155880,24,6495,A,15-07-2020,,Contract Finished
7279,11244,971211,155760,24,6490,C,11-12-2021,,Running Contract
6471,7184,960804,155640,24,6485,A,04-08-2020,,Contract Finished
5591,3021,961204,155616,48,3242,C,04-12-2020,,Running Contract
6818,9030,961212,155616,48,3242,C,12-12-2020,,Running Contract
7189,10728,960321,154656,48,3222,C,21-03-2020,,Running Contract
7235,10973,931013,154416,48,3217,A,13-10-2017,,Contract Finished
5765,3875,980210,153936,24,6414,C,10-02-2022,,Running Contract
6541,7565,970817,153504,48,3198,C,17-08-2021,,Running Contract
6607,7894,971021,153144,36,4254,C,21-10-2021,,Running Contract
7221,10915,980611,152460,60,2541,C,11-06-2022,,Running Contract
6486,7240,980115,152160,60,2536,C,15-01-2022,,Running Contract
6986,9750,950211,151728,48,3161,D,11-02-2019,,Client in debt
7137,10439,940603,151560,24,6315,A,03-06-2018,,Contract Finished
5815,4116,980603,151200,36,4200,C,03-06-2022,,Running Contract
6313,6461,970615,150912,36,4192,C,15-06-2021,,Running Contract
6010,4969,970306,150180,60,2503,C,06-03-2021,,Running Contract
6103,5385,940407,149340,60,2489,C,07-04-2018,,Running Contract
5189,1166,940207,149040,48,3105,A,07-02-2018,,Contract Finished
7246,11054,960820,148920,60,2482,C,20-08-2020,,Running Contract
5210,1252,970401,148140,36,4115,C,01-04-2021,,Running Contract
5656,3353,970209,146064,24,6086,C,09-02-2021,,Running Contract
6632,7990,980423,144960,48,3020,C,23-04-2022,,Running Contract
6004,4937,940723,143904,24,5996,A,23-07-2018,,Contract Finished
5320,1819,980111,143676,36,3991,C,11-01-2022,,Running Contract
5301,1698,960706,141948,36,3943,C,06-07-2020,,Running Contract
5988,4851,960822,141648,24,5902,A,22-08-2020,,Contract Finished
6216,5952,940930,141240,24,5885,A,30-09-2018,,Contract Finished
6136,5572,980419,140880,60,2348,C,19-04-2022,,Running Contract
7202,10812,980529,140688,48,2931,C,29-05-2022,,Running Contract
5683,3460,980529,140688,48,2931,C,29-05-2022,,Running Contract
6645,8041,941106,140400,36,3900,A,06-11-2018,,Contract Finished
6571,7733,980512,140064,24,5836,C,12-05-2022,,Running Contract
6965,9656,950613,139536,24,5814,A,13-06-2019,,Contract Finished
6402,6922,981206,139488,24,5812,C,06-12-2022,,Running Contract
5415,2236,960926,139464,36,3874,D,26-09-2020,,Client in debt
5805,4081,951128,137904,24,5746,B,28-11-2019,,Loan Not Paid
6358,6715,950114,137880,60,2298,D,14-01-2019,,Client in debt
7067,10134,980111,136368,24,5682,C,11-01-2022,,Running Contract
5501,2622,980521,136344,24,5681,C,21-05-2022,,Running Contract
5900,4503,960101,135360,48,2820,C,01-01-2020,,Running Contract
6694,8316,950319,134784,24,5616,A,19-03-2019,,Contract Finished
6992,9790,960727,133968,48,2791,C,27-07-2020,,Running Contract
5773,3907,980316,133848,24,5577,C,16-03-2022,,Running Contract
7151,10493,980218,133800,24,5575,C,18-02-2022,,Running Contract
7220,10911,940728,131292,36,3647,A,28-07-2018,,Contract Finished
5616,3143,980515,130896,24,5454,C,15-05-2022,,Running Contract
6544,7594,971211,130464,48,2718,C,11-12-2021,,Running Contract
7308,11362,961227,129408,24,5392,A,27-12-2020,,Contract Finished
6075,5267,971126,129312,24,5388,D,26-11-2021,,Client in debt
6013,4995,960203,128988,36,3583,D,03-02-2020,,Client in debt
5206,1242,970907,128544,24,5356,C,07-09-2021,,Running Contract
6641,8026,970909,128268,36,3563,C,09-09-2021,,Running Contract
6355,6699,970924,127200,48,2650,C,24-09-2021,,Running Contract
6863,9188,930728,127080,60,2118,A,28-07-2017,,Contract Finished
6996,9828,950413,126600,24,5275,A,13-04-2019,,Contract Finished
5245,1407,980117,125472,24,5228,C,17-01-2022,,Running Contract
5241,1389,980902,125472,24,5228,C,02-09-2022,,Running Contract
6785,8899,951225,125340,60,2089,C,25-12-2019,,Running Contract
6386,6856,970430,124344,36,3454,C,30-04-2021,,Running Contract
5032,290,941103,123696,48,2577,A,03-11-2018,,Contract Finished
6190,5794,960506,123600,60,2060,C,06-05-2020,,Running Contract
7130,10411,961211,123408,24,5142,A,11-12-2020,,Contract Finished
5260,1480,980119,123300,36,3425,C,19-01-2022,,Running Contract
5610,3112,960224,123216,48,2567,C,24-02-2020,,Running Contract
6866,9201,980205,122472,24,5103,C,05-02-2022,,Running Contract
7061,10105,940827,121896,24,5079,A,27-08-2018,,Contract Finished
6919,9403,940805,120888,36,3358,A,05-08-2018,,Contract Finished
